time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume
1673654400,19934.07,21321.98,19893.25,20957.02,18898.36320621242,20152.391627276782,17644.334785148058,58239.87328811
1673740800,20956.2,21057.3,20560.16,20879.7,19072.010091623702,20389.99186778637,17754.028315461033,25709.30241812
1673827200,20879.67,21465.62,20611.45,21187.5,21088.19,21088.19,21088.19,41151.35428763
1673913600,21191.46,21595,20844.73,21136.33,21134.129869914785,21185.699871325025,21082.559868504544,32656.47978348
1674000000,21135.01,21650.21,20370.01,20674.29,21058.81932828261,21176.75677014005,20940.88188642517,34600.25647175
1674086400,20674.03,21197,20656.52,21084.22,21044.674483219504,21155.859906978494,20933.489059460513,23436.75404601
1674172800,21084.05,22754.73,20865.64,22669.81,21254.31504496753,21686.174340132227,20822.455749802833,32810.59587882
1674259200,22671.09,23375.6,22432.45,22789.37,21521.035660037713,22238.19134400147,20803.879976073957,32657.60500465
1674345600,22789.34,23082.82,22298.15,22714.87,21656.030341528585,22428.1028171968,20883.95786586037,25548.28914044
1674432000,22714.81,23180.55,22500.01,22920.29,22866.95,22866.95,22866.95,32380.77464386
1674518400,22920.67,23165.56,22460.17,22636.17,22805.090798161087,22861.32688949958,22748.854706822593,39180.10567306
1674604800,22636.19,23824.66,22326.24,23062.36,22898.13300874555,23032.84857660427,22763.41744088683,38496.91631901
1674691200,23062.36,23287.38,22853.61,23010.47,22930.92710107788,23065.696227190077,22796.15797496568,30187.8442515
1674777600,23011.37,23511.9,22540.76,23084.4,22949.56020036778,23079.962792499668,22819.157608235895,27185.13487749
1674864000,23084.38,23196.99,22884,23028.95,22953.277912383022,23082.075592511166,22824.48023225488,7466.33930339
1674950400,23029.56,23966,22974.75,23745.8,23018.42092617643,23242.555767403406,22794.286084949454,20952.76361397
1675036800,23744.34,23802.99,22500,22836.03,23046.34,23046.34,23046.34,34312.28644397
1675123200,22836.03,23313.23,22719.68,23128.86,23049.36112085799,23053.073666510772,23045.648575205207,22721.77475761
1675209600,23127.15,23813.57,22760,23735.97,23150.958908021836,23321.316953742302,22980.60086230137,20292.22416962
1675296000,23735.97,24262.18,23367.87,23493.84,23248.26977336507,23510.347639725376,22986.191907004766,16368.92138269
1675382400,23497.29,23720,23208.01,23433.54,23275.351940316235,23529.262772028203,23021.441108604267,14215.66842983
1675468800,23433.47,23589.67,23257.71,23328.87,23279.087170972154,23529.74592408472,23028.428417859588,3567.13007478
1675555200,23329.47,23433.2,22758.01,22936.34,23265.912539692014,23515.46007291404,23016.365006469987,6574.34533251
1675641600,22936.34,23163.05,22637.51,22764.07,22854.876666666667,22854.876666666667,22854.876666666667,12149.94486314
1675728000,22763.42,23348.73,22748.11,23244.67,22970.516491467784,23099.254675198914,22841.778307736655,9803.34759825
1675814400,23244.64,23451.01,22669.09,22964.38,22985.475420285693,23099.102358459037,22871.84848211235,7693.59195866
1675900800,22963.91,23011.18,21700,21800.63,22664.396917565908,23072.282097913358,22256.511737218458,19277.239648
1675987200,21800.62,21942.41,21467.43,21628.97,22462.18435613002,23001.12441652586,21923.244295734177,12641.59512641
1676073600,21628.97,21904,21605.35,21863.73,22414.61992040521,22961.915842427778,21867.323998382642,4695.91143894
1676160000,21863.73,22091.88,21631,21789.8,22366.773911108074,22914.51318312814,21819.034639088008,5990.68642903
1676246400,21789.79,21903.03,21366.45,21789.14,21686.206666666665,21686.206666666665,21686.206666666665,13246.3049252
1676332800,21789,22331.76,21545.67,22206.27,21866.97527514589,22037.533589460243,21696.41696083154,14879.72784164
1676419200,22206.26,24386.5,22054.17,24329.04,22649.923690095115,23517.00287261547,21782.84450757476,23427.35072192
1676505600,24326.95,25256.83,23510.73,23516.15,23181.738277861696,24161.797106367798,22201.679449355594,30034.93494269
1676592000,23516.95,25025,23344.12,24577.6,23429.345680432376,24414.329982588955,22444.361378275797,22795.35234631
